text,label
love,positive
happy,positive
awesome,positive
great,positive
kind,positive
fantastic,positive
brilliant,positive
excellent,positive
joy,positive
smile,positive
success,positive
wonderful,positive
peace,positive
charming,positive
amazing,positive
grace,positive
strong,positive
healthy,positive
celebrate,positive
optimistic,positive
hope,positive
victory,positive
bright,positive
talented,positive
creative,positive
cheerful,positive
supportive,positive
loyal,positive
friendly,positive
generous,positive
respect,positive
honest,positive
motivated,positive
inspired,positive
adore,positive
cute,positive
beautiful,positive
handsome,positive
perfect,positive
calm,positive
funny,positive
good,positive
best,positive
positive,positive
amusing,positive
pleasant,positive
helpful,positive
refreshing,positive
freedom,positive
hug,positive
fuck,negative
shit,negative
bitch,negative
stupid,negative
idiot,negative
dumb,negative
bastard,negative
ugly,negative
hate,negative
angry,negative
disgusting,negative
loser,negative
trash,negative
horrible,negative
nonsense,negative
crap,negative
awful,negative
annoying,negative
evil,negative
toxic,negative
broken,negative
worthless,negative
fool,negative
dirty,negative
rude,negative
bad,negative
pathetic,negative
lazy,negative
weak,negative
nasty,negative
failure,negative
boring,negative
disappointing,negative
greedy,negative
selfish,negative
coward,negative
hostile,negative
arrogant,negative
mean,negative
hated,negative
corrupt,negative
angst,negative
stress,negative
unfair,negative
fear,negative
pain,negative
killer,negative
miserable,negative
jealous,negative
bully,negative
ordinary,neutral
normal,neutral
okay,neutral
fine,neutral
average,neutral
regular,neutral
standard,neutral
typical,neutral
plain,neutral
moderate,neutral
medium,neutral
so-so,neutral
acceptable,neutral
fair,neutral
usual,neutral
balanced,neutral
simple,neutral
common,neutral
routine,neutral
casual,neutral
basic,neutral
general,neutral
unremarkable,neutral
equivalent,neutral
satisfactory,neutral
average-looking,neutral
undistinguished,neutral
middling,neutral
passable,neutral
indifferent,neutral
neutral,neutral
standardized,neutral
ordinary-looking,neutral
approximate,neutral
moderate-quality,neutral
simple-minded,neutral
level,neutral
intermediate,neutral
mediocre,neutral
average-performing,neutral
typical-case,neutral
usual-type,neutral
acceptable-level,neutral
average-level,neutral
regular-type,neutral
expected,neutral
conventional,neutral
approx,neutral
around,neutral
middle,neutral
